molecule_chembl_id,canonical_smiles,IC50_nM,pIC50
CHEMBL5971901,O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)c5ccc(CN6CCN7CCC[C@@H]7C6)c(C(F)(F)F)c5)[C@H]3O4)ccnc2N1,0.21,9.67778070526608
CHEMBL6152892,CCOc1ccc(C2C(C#N)=C(N)OC3C2C(C)=NN3c2ccc(Cl)cc2)cc1,0.21,9.67778070526608
CHEMBL5740720,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.212,9.67366413907125
CHEMBL6041040,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,0.2355,9.659478929945948
CHEMBL4560430,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],0.22,9.657577319177793
CHEMBL4516232,Cn1ncc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],0.22,9.657577319177793
CHEMBL4527121,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccccc1[N+](=O)[O-].[Br-],0.22,9.657577319177793
CHEMBL161956,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.22,9.657577319177793
CHEMBL5881155,CCOC(=O)C1=C(C(F)(F)F)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(S(=O)(=O)c2ccccc2)cc1,0.22,9.657577319177793
CHEMBL4473277,Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],0.22,9.657577319177793
CHEMBL4439982,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccc([N+](=O)[O-])cc1.[Br-],0.22,9.657577319177793
CHEMBL4540138,Cn1c(C[N+](C)(C)C/C=C/C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)ccc1[N+](=O)[O-].[Br-],0.22,9.657577319177793
CHEMBL2031300,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,0.23,9.638272163982407
CHEMBL6142125,COc1cc(N2CCN(C)CC2)c(-c2cn[nH]c2)cc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,0.23,9.638272163982407
